id,name,url,type,ingredients,imageURL,provider
1,Curd Dosa Recipe | Instant Soft & Sponge Dosa,https://hebbarskitchen.com/sponge-dosa-recipe-curd-dosa-set-dosa/,,"['1 cup poha, thin', '1 cup rava / semolina, coarse', '1 cup curd', '1 tsp salt', 'water, as required', '¼ tsp baking soda']",https://hebbarskitchen.com/wp-content/uploads/2019/10/Curd-Dosa-Recipe-Instant-Soft-Sponge-Dosa-1-200x300.jpeg,HebbarsKitchen
2,Banana Dosa Recipe | Instant South Indian Pancake,https://hebbarskitchen.com/banana-dosa-recipe-instant-south-indian/,,"['1 banana, chopped', '1 cup rava', '¾ cup poha / avalakki', '1 cup curd', '2 tbsp jaggery', '½ tsp cardamom powder', '½ tsp salt', '¼ tsp turmeric', '¼ tsp baking soda']",,HebbarsKitchen
3,Tomato Dosa recipe | Instant Tomato - Thakkali Dosai,https://hebbarskitchen.com/tomato-dosa-recipe-thakkali-dosai/,,"['2 tomato, cubed', '1 cup rice flour', '½ cup rava / suji', '½ tsp chilli powder', '1 tsp salt', 'water, for batter', '2 tbsp coriander, finely chopped', 'few curry leaves, chopped', '1 inch ginger, grated', '1 tsp cumin', 'oil, for roasting']",https://hebbarskitchen.com/wp-content/uploads/2024/06/Tomato-Dosa-recipe-Instant-Tomato-Thakkali-Dosai-2-200x300.jpeg,HebbarsKitchen
4,Adai Dosa Recipe | Protein Rich South Indian Adai Dosai,https://hebbarskitchen.com/adai-recipe-make-adai-dosa-recipe/,,"['1 cup idli rice', '¾ cup toor dal', '¾ cup chana dal', '¾ cup moong dal', '¾ cup urad dal', '1 tsp fennel', '1 tsp cumin', '¼ tsp methi', '10 dried red chilli', 'water, for soaking', '¼ tsp hing', '½ tsp turmeric', '1 inch ginger', '1 tbsp salt', '1 onion, finely chopped', '2 tbsp coriander, finely chopped', 'ghee, for roasting']",https://hebbarskitchen.com/wp-content/uploads/2024/03/Adai-Dosa-Recipe-Protein-Rich-South-Indian-Adai-Dosai-2-200x300.jpeg,HebbarsKitchen
5,Pesarattu Recipe | Green Moong Dal Dosa - High Protein Dosa,https://hebbarskitchen.com/pesarattu-recipe-moong-dal-dosa-recipe/,,"['1 cup moong dal', '2 tbsp chana dal', '2 tbsp rice', 'water,  for soaking', '4 chilli', '2 inch ginger', '1 tsp cumin', '½ tsp salt', 'oil, for roasting', 'onion, for topping']",https://hebbarskitchen.com/wp-content/uploads/2024/01/Pesarattu-Recipe-Green-Gram-Dosa-Green-Moong-Dal-Dosa-Pesara-Dosa-1-200x300.jpeg,HebbarsKitchen
6,Multigrain Dosa Recipe | Mixed Dal Dosa | High Protein Dosa,https://hebbarskitchen.com/multigrain-dosa-recipe-mixed-dal-dosa/,,"['3 cup sona masuri rice', '1 cup black chana', '1 cup lobia / black eyed pea', '1 cup urad dal', '1 cup mung beans', '1 cup thin poha', '1 tsp methi', 'water, for soaking', 'oil, for roasting']",https://hebbarskitchen.com/wp-content/uploads/2023/08/Multigrain-Dosa-Recipe-Mixed-Dal-Dosa-High-Protein-Dosa-1-200x300.jpeg,HebbarsKitchen
7,Instant Wheat Dosa Recipe - 10 Mins | Goduma Dosa or Atta Dosa,https://hebbarskitchen.com/instant-wheat-dosa-recipe-godhuma-dosa/,,"['½ cup wheat flour', '1 cup rice flour', '1 tsp salt', '1 tsp cumin', '4 cup water', '1 onion, finely chopped', '1 carrot, grated', '1 chilli, chopped', '2 tbsp coriander, chopped', 'few curry leaves, chopped', 'oil, for roasting']",https://hebbarskitchen.com/wp-content/uploads/2023/08/Wheat-Dosa-Recipe-Instant-Wheat-Flour-Dosa-Godhuma-Dosa-Godhi-Dose-Atta-Dosa-2-200x300.jpeg,HebbarsKitchen
8,Dosa Recipe | 7 ProTips South Indian Dosa Batter Recipe,https://hebbarskitchen.com/wet-grinder-dosa-batter-recipe/,,"['1 cup urad dal', '¼ cup chana dal', '1 tsp methi / fenugreek seeds', '3 cup sona masuri rice', '1 cup poha, thin', 'water, for soaking', '2 tsp salt', 'oil, for roasting']",https://hebbarskitchen.com/wp-content/uploads/2021/07/cropped-dosa-batter-recipe-how-to-make-a-perfect-dosa-batter-at-home-using-a-wet-grinder-2-225x300.jpeg,HebbarsKitchen
9,Rava Dosa Recipe | Instant Crispy Suji Ka Dosa,https://hebbarskitchen.com/instant-rava-dosa-recipe-suji-ka-dosa/,,"['½ cup rava / semolina / suji, coarse', '½ cup rice flour, fine', '¼ cup maida / all purpose flour', '1 tbsp curd / yogurt, optional', '1 tsp salt', '2½ cup water', '1 chilli, finely chopped', '1 inch ginger, grated', '½ tsp pepper, crushed', '1 tsp cumin / jeera', 'few curry leaves, finely chopped', '2 tbsp coriander, finely chopped', '1 onion, finely chopped', '1½ water', 'oil, for roasting']",https://hebbarskitchen.com/wp-content/uploads/2019/02/rava-dosa-recipe-instant-rava-dosa-suji-ka-dosa-crispy-rava-dosa-1-200x300.jpeg,HebbarsKitchen
10,Besan Chilla Recipe | Paneer Stuffed Besan Ka Cheela,https://hebbarskitchen.com/besan-chilla-recipe-besan-ka-cheela/,,"['1½ cup besan / gram flour', '¼ cup rava / suji', '¼ cup curd', '¼ tsp turmeric', '¾ tsp salt', '1 cup water', 'oil, for roasting', '1 cup paneer, grated', '1 carrot, chopped', '½ capsicum, chopped', '1 tomato, chopped', '3 tbsp sweet corn', '2 tbsp coriander, chopped', '½ tsp salt']",https://hebbarskitchen.com/wp-content/uploads/2023/05/Besan-Chilla-Recipe-Paneer-Stuffed-Besan-Ka-Cheela-2-200x300.jpeg,HebbarsKitchen
