id,name,url,type,ingredients,imageURL,provider
1,akki roti recipe | masala akki rotti recipe | rice flour roti,https://hebbarskitchen.com/akki-roti-recipe-masala-akki-rotti/,breakfast recipes,"['2 cup rice flour', '1 onion, finely chopped', '2 tbsp dill leaves / sabbasige soppu', '2 tbsp coriander, finely chopped', '2 tbsp, curry leaves, finely chopped', '1 inch ginger, grated', '2 chilli, finely chopped', '1 tsp cumin', '1 tsp salt', 'water, as required', 'oil, for roasting']",https://hebbarskitchen.com/wp-content/uploads/2020/07/akki-roti-recipe-masala-akki-rotti-recipe-rice-flour-roti-1-200x300.jpg,Hebbar's Kitchen
2,vermicelli pulao recipe | semiya pulao | shavige pulav | sevai pulao,https://hebbarskitchen.com/vermicelli-pulao-recipe-semiya-pulao/,pulao recipes,"['1 tsp ghee / clarified butter', '1 cup vermicelli / semiya', 'handful coriander', 'handful mint / pudina', '1 chilli', '2 tbsp ghee / clarified butter', '2 bay leaf', '3 pod cardamom', '1 inch cinnamon', '4 clove', '1 star anise', '1 tsp cumin / jeera', '15 whole cashew / kaju', '1 onion, finely chopped', '1 tsp ginger garlic paste', '½ capsicum, finely chopped', '½ carrot, finely chopped', '2 tbsp peas / matar', '5 beans, finely chopped', '¾ tsp garam masala', '¾ tsp salt', '1½ cup water', '2 tsp lemon juice']",https://hebbarskitchen.com/wp-content/uploads/2020/06/vermicelli-pulao-recipe-semiya-pulao-shavige-pulav-sevai-pulao-1-200x300.jpeg,Hebbar's Kitchen
3,roti sandwich recipe | chapati sandwich | leftover roti panini,https://hebbarskitchen.com/roti-sandwich-recipe-chapati-sandwich/,sandwich recipes,"['2 tbsp oil', '½ onion, finely chopped', '1 tsp ginger garlic paste', '1 chilli, finely chopped', '1 carrot, grated', '4 tbsp cabbage, finely chopped', '½ capsicum, finely chopped', '3 tbsp sweet corn', '1 tsp pav bhaji masala', '½ tsp salt', '¼ tsp turmeric', '½ tsp kashmiri red chilli powder', '3 tbsp paneer / cottage cheese, grated', '2 tbsp tomato sauce', '1 tsp chilli sauce', '6 roti / chapati, leftover ', '3 tsp green chutney', '3 tsp eggless mayonnaise', '1 stick cheddar cheese', 'butter, for toasting']",https://hebbarskitchen.com/wp-content/uploads/2020/06/roti-sandwich-recipe-chapati-sandwich-leftover-roti-panini-1-200x300.jpeg,Hebbar's Kitchen
4,pin wheel sandwich recipe | pinwheel sandwich | pinwheel sandwiches,https://hebbarskitchen.com/pin-wheel-sandwich-recipe/,sandwich recipes,"['3 slice bread, white or brown', '3 tsp butter', '¼ cup eggless mayonnaise', '1 tsp green chutney', '½ capsicum, thinly sliced', '3 slice cheese', '¼ tsp pepper powder', '3 tbsp cabbage, shredded', '½ carrot, grated', '1 tbsp tomato sauce', 'pinch salt']",https://hebbarskitchen.com/wp-content/uploads/2020/05/pin-wheel-sandwich-recipe-pinwheel-sandwich-pinwheel-sandwiches-1-1-200x300.jpeg,Hebbar's Kitchen
5,veg malai sandwich recipe | bread malai sandwich | veg cream sandwich,https://hebbarskitchen.com/veg-malai-sandwich-recipe-bread-malai/,sandwich recipes,"['½ carrot, grated', '3 tbsp cabbage, shredded', '½ capsicum, finely chopped', '½ onion, finely chopped', '3 tbsp sweet corn', '2 tbsp coriander, finely chopped', '½ cup cream / malai', '½ tsp pepper powder', '½ tsp chilli flakes', '½ tsp mixed herbs', '8 slice bread, white or brown']",https://hebbarskitchen.com/wp-content/uploads/2020/05/veg-malai-sandwich-recipe-bread-malai-sandwich-veg-cream-sandwich-1-200x300.jpeg,Hebbar's Kitchen
6,tuppa dosa recipe | ghee dosa recipe | thuppa dose | ney dosa,https://hebbarskitchen.com/tuppa-dosa-recipe-ghee-dosa-recipe/,dosa recipes,"['2 cup idli rice', '½ cup urad dal', '½ tsp methi / fenugreek', 'water, for soaking & grinding', '1 cup poha / aval / flattened rice, thin', '2 tsp salt', 'ghee / clarified butter, for roasting']",https://hebbarskitchen.com/wp-content/uploads/2020/05/tuppa-dosa-recipe-ghee-dosa-recipe-thuppa-dose-ney-dosa-1-200x300.jpeg,Hebbar's Kitchen
7,dadpe pohe recipe | dadpe poha | maharashtrian dadpe pohe recipe,https://hebbarskitchen.com/dadpe-pohe-recipe-dadpe-poha/,breakfast recipes,"['1 onion, finely chopped', '¾ cup coconut, grated', '1 tsp lemon juice', '1 tsp sugar', '½ tsp salt', '2½ cup poha / aval / beaten rice, thin', '2 tbsp oil', '2 tbsp peanut', '1 tsp mustard', '½ tsp cumin / jeera', 'pinch hing / asafoetida', '2 chilli, finely chopped', 'few curry leaves', '½ tsp turmeric', '2 tbsp coriander, finely chopped']",https://hebbarskitchen.com/wp-content/uploads/2020/04/dadpe-pohe-recipe-dadpe-poha-maharashtrian-dadpe-pohe-reciped-1-200x300.jpeg,Hebbar's Kitchen
8,rava dosa recipe | instant rava dosa | suji ka dosa | crispy rava dosa,https://hebbarskitchen.com/instant-rava-dosa-recipe-suji-ka-dosa/,dosa recipes,"['½ cup rava / semolina / suji, coarse', '½ cup rice flour, fine', '¼ cup maida / all purpose flour', '1 tbsp curd / yogurt, optional', '1 tsp salt', '2½ cup water', '1 chilli, finely chopped', '1 inch ginger, grated', '½ tsp pepper, crushed', '1 tsp cumin / jeera', 'few curry leaves, finely chopped', '2 tbsp coriander, finely chopped', '1 onion, finely chopped', '1½ water', 'oil, for roasting']",https://hebbarskitchen.com/wp-content/uploads/2019/02/rava-dosa-recipe-instant-rava-dosa-suji-ka-dosa-crispy-rava-dosa-1-200x300.jpeg,Hebbar's Kitchen
9,nuchinunde recipe | steamed lentil - dal dumplings | nucchina unde,https://hebbarskitchen.com/nuchinunde-recipe-steamed-lentil/,breakfast recipes,"['½ cup toor dal', '½ cup chana dal', 'water, for soaking', '½ cup coconut, grated', '3 tbsp dill leaves, finely chopped', '2 tbsp coriander, finely chopped', 'few curry leaves, chopped', '1 inch ginger, finely chopped', '2 chilli, finely chopped', '1 tsp cumin / jeera', 'pinch hing / asafoetida', '¾ tsp salt']",https://hebbarskitchen.com/wp-content/uploads/2020/03/nuchinunde-recipe-steamed-lentil-dumplings-dal-dumplings-nucchina-unde-1-200x300.jpeg,Hebbar's Kitchen
10,rava uttapam recipe | instant suji uttapam recipe | sooji uttapam,https://hebbarskitchen.com/rava-uttapam-recipe-instant-suji-uttapam/,dosa recipes,"['1 cup rava / semolina / suji, coarse', '½ cup curd', '¾ tsp salt', '½\xa0 cup water', '1 onion, finely chopped', '½ capsicum, finely chopped', '1 carrot, grated', '1 tomato, finely chopped', '2 tbsp coriander, finely chopped', '1 inch ginger, finely chopped', '1 chilli, finely chopped', 'few curry leaves, chopped', '¼ tsp salt']",https://hebbarskitchen.com/wp-content/uploads/2020/02/rava-uttapam-recipe-instant-suji-uttapam-recipe-sooji-uttapam-1-200x300.jpeg,Hebbar's Kitchen
